1,新增车辆布控,0,2019/10/10 15:18:28
3,以图搜车辆,12,2019/10/10 15:18:28
5,车辆告警,386,2019/10/10 15:18:28
7,车辆时空轨迹分析,5,2019/10/10 15:18:28
